5-hydroxytryptamin	or_5-ht
ägyptologie	egyptology/n/the_study_of_ancient_egypt
aids	aid/n/acquired_immune_deficiency_syndrome
airbag	airbag
akademiker	academician/n/member_of_an_academy
akelei	columbine
akne	acne
akquise	short_form_of_akquisition
aktinolith	actinolite/n/mineral_with_monoclinic_crystals_belonging_to_amphibole_group
aktivist	activist/n/one_who_is_politically_active
aktivität	activity
alanin	alanine
albanisch	albanian
alb	elf
album	album
aldehyd	aldehyde
ale	ale/n/intoxicating_liquor
alexander	cognate_to_english_alexander
alibi	alibi
alkoholfrei	nonalcoholic/a/containing_at_most_trace_amounts_of_alcohol
alle_brücken_abbrechen	burn_one_bridge/v/burn_one's_bridges
allee	alley
allee	parkway
allegorik	translate_something_into_allegory
allenfalls	at_most
allgemein	generally/r/popularly_or_widely
alligator	alligator
alphabetismus	alphabetism
also	so/i/interjection_used_to_mean_"thus",_"therefore",_etc
alt	typical_to_rhineland_region
alter	antiquity
alter	term_of_address_for_man_dude
alternativ	alternative/a/relating_to_a_choice
alternierend	alternate
altgriechisch	ancient_greek/n/all_the_greek_languages_spoken_between_the_dorian_invasion_and_the_fall_of_the_roman_empire
altruist	altruist
alwina	feminine_form_of_alwin
alwin	cognate_to_english_alwin
amateurhaft	amateurish
ambivalenz	ambivalence/n/state_of_uncertainty
american_football	football
amerikanisierung	americanisation/n/assimilation
amos	amos
amos	book_of_amos
amphiprostylos	amphiprostyle/a/having_columns_at_either_end_but_not_along_the_sides
amputierte	amputee
amtsschimmel	surplus_of_bureaucracy
anakonda	anaconda
analgetisch	analgesic
analog	analogue
analogie	analogy
analphabetisch	illiterate/a/unable_to_read_and_write
an_bord	aboard/r/on_board
an-	up
andernfalls	otherwise
andrea	feminine_form_of_andreas
aneignen	acquire
anerkennen	recognize
anfällig	susceptible/a/likely_to_be_affected_by
anfangs	at_begin
anfangsphase	infancy/n/early_state_in_development
angeblich	allege
angelrute	fish_rod
angleichung	assimilation/n/act_of_assimilating_or_the_state_of_being_assimilated
angreifer	attacker/n/someone_who_attacks
anis	anise
ankreiden	blame
ankündigung	announcement/n/announcement
anlage	enclosure/n/something_enclosed
anlegen	dock
anlegen	invest
anmachen	start
anmaßend	overbear/a/overly_bossy_or_domineering
anmelden	enroll/v/to_enter_(a_name)_in_a_register,_roll_or_list
annäherung	approach
annika	low_german_and_swedish_diminutive_of_anna
annullieren	cancel
anreichern	enrich
anreise	arrival
anreisen	arrive
ansammlung	agglomeration/n/state_of_being_collected_in_a_mass
anschaffen	get
anschlag	attempt/n/attack
ansehnlich	considerable
ansonsten	otherwise/r/under_different_circumstances
anspielung	innuendo/n/a_derogatory_hint_or_reference_to_a_person_or_thing,_an_implication_or_insinuation
ansteckend	infectious/a/spreading_quickly_between_persons
ansteuern	make_for
anstrengend	strenuous/a/requiring_great_exertion
anstrengung	strain
anteil	deal/n/division,_share
anthropodizee	anthropodicy/n/a_justification_of_the_fundamental_goodness_of_humanity
antibiotikum	antibiotic
antikörper	antibody
antimakassar	antimacassar
antiphlogistikum	antiphlogistic
antipyretikum	antipyretic/n/medication_that_reduces_fever
antrag	proposition
antwort	answer/n/response
antworten	reply
anwenden	use
anzahl	amount/n/number_of_elements_in_a_set
anzünden	set_on_fire/v/cause_to_begin_to_burn
aphärese	apheresis/n/loss_of_letters_or_sounds_from_the_beginning_of_a_word
aphasie	aphasia/n/pathological_speech_disorder
aphasie	aphasia
apokalypse	apocalypse
apokopat	apocopate/a/shortened_by_apocope
apoplexie	apoplexy
apostel	apostle
apparat	device
apposition	apposition
aprosdoketon	aprosdoketon/n/figure_of_speech
apsis	apse
aquädukt	aqueduct/n/an_artificial_channel_conveying_water
ära	age/n/great_period_in_the_history_of_the_earth
arbeiterklasse	work_class/n/social_class_doing_physical_work
arbeitsmarkt	labor_market
arbeitsstelle	job
architekt	architect
ärger	annoyance
ärgerlich	gall/a/vexing
arglistige_täuschung	wilful_or_intentional_deceit_or_deception
argument	proof
arie	aria
ärmelkanal	english_channel/n/the_part_of_the_atlantic_ocean_between_great_britain_and_france
armenier	armenian/n/person
armenisches_hochland	armenian_highland/n/plateau
arsch	dick/n/highly_contemptible_person
art	behaviour
art	kind/n/type,_race,_category
ärztin	female_doctor_or_physician
asbest	asbestos/n/any_of_several_fibrous_mineral_forms_of_magnesium_silicate
asbest	asbestos
asche	clay/n/tennis_court_surface
aschenputtel	cinderella/n/main_character_in_this_fairy_tale
aschgabat	ashgabat/n/the_capital_of_turkmenistan
asphalt	asphalt/n/asphalt_concrete
aster	taxonomic_plant_genus
ästhetisch	aesthetic/a/concerned_with_beauty
ästhetisch	aesthetic
asyl	asylum/n/place_of_safety
atavistisch	atavistic/a/of_a_throwback
athlet	athlete
atlas	atlas/n/bound_collection_of_maps
atlas	atlas/n/bound_collection_of_tables,_illustrations,_etc.,_on_any_subject
atlas	atlas
atombombe	atomic_bomb/n/nuclear_weapon
atom	atom
atomkern	atomic_nucleus/n/nucleus_of_an_atom
atomkraftwerk	nuclear_power_plant
atommasse	atomic_mass/n/mass_of_an_atom
attika	attica/n/a_periphery
attrappe	dummy
attrappe	mockup
aucha-barsch	mandarin_fish/n/freshwater_carnivorous_fish
auditorium	auditorium
aufatmen	breathe_again
auf	carry_on
aufdeckung	uncover
auf_der_nase_herumtanzen	do_whatever_one_want
aufenthalt	sojourn/n/a_short_stay_somewhere
auffahrt	drive/n/driveway
aufgeben	give_up/v/abandon
auflauf	hot_pot/n/stew_of_beef_or_lamb_and_potatoes
aufmerksamkeit	attention
aufmüpfig	insubordinate
aufnahmefähigkeit	receptivity
aufreihen	queue/v/arrange_into_a_queue
aufsaugen	sponge
aufschlagen	break
aufschwung	economic_upswing
aufstand	insurrection/n/mutiny_or_rebellion
aufstehen	stand_up/v/rise_from_a_sitting_position
auftauen	thaw/v/to_cause_frozen_things_to_melt,_soften,_or_dissolve
aufwallung	surge/n/sudden_transient_rush_or_flood
aufwändig	expensive
aufwärts	upwards/r/to_a_higher_place
aufzeichnen	record/v/(intransitive)_make_audio_or_video_recording
augenhöhle	eye_socket
augustus	augustus/n/roman_emperor
ausarbeiten	flesh/v/to_add_details
ausbilden	educate
ausfahrt	exit
aus_fleisch_und_blut	in_flesh/r/with_one's_own_body_and_presence
ausführung	execution
ausfüllen	fill_out/v/to_complete_a_form
ausgang	exit/n/passage_from_inside_to_outside
ausgeben	issue
ausgleichen	balance
auslassen	remove_fat_by_heat_it
auslöschen	extinguish/v/(''psychology'')_to_bring_about_the_extinction_of_a_conditioned_reflex
auspeitschung	flog
ausräuchern	smoke_out
ausrotten	purge
ausrottung	eradication
ausscheiden	eliminate
ausschlüpfen	hatch/v/of_an_egg,_to_break_open
ausschlusskriterium	exclusion_criterion
ausschreitung	riot
außen-	external
außenpolitisch	regard_foreign_affair
außerhalb	outside/r/on_or_towards_the_outside
außerirdischer	alien/n/life_form_of_non-earth_origin
äußern	express
ausstellen	certificate
austrinken	empty
auswachsen	grow_into_something
ausweisen	expel
autobiographisch	autobiographical/a/of_or_relating_to_person's_life
autochthon	autochthonous
autodidakt	autodidact
autofellatio	autofellatio/n/oral_stimulation_of_one's_own_penis
autoklav	autoclave
autokratie	autocracy/n/form_of_government
autopilot	autopilot
avicenna	avicenna/n/a_persian_polymath
babyboom	baby_boom/n/post-world_war_ii_baby_boom_(1946_to_1964)
backen	roast
bäcker	baker/n/person_who_bakes_and_sells_bread,_etc
backpulver	bake_powder/n/a_dry_leavening_agent_used_in_baking
bad	bath/n/act_of_bathing
bagatelle	bagatelle
bahasa_indonesia	redirect_bahasa_indonesia
bahnfahrer	someone_drive_train
bahrain	bahrain
balalaika	balalaika/n/russian_instrument
balkon	balcony/n/structure_extending_from_a_building
ball	ball/n/object,_generally_spherical,_used_for_playing_games
ballförmig	spherical
ballsaal	ballroom/n/large_room_used_for_dancing
banalität	banality
bandit	bandit
bangkok	bangkok
bangladescher	bangladeshi/n/person_from_bangladesh_or_of_bangladeshi_descent
bank	facility_for_storage_of_particular_thing
bankleitzahl	sort_code
banknote	banknote
bankräuber	bank_robber
banküberfall	bank_raid
barbadisch	barbadian
bar	bar/n/closet_containing_alcoholic_beverages_in_a_private_house_or_a_hotel_room
bar	bar
barriere	barrier
bartenwal	baleen_whale
basalt	basalt
baseball	baseball
basilika	basilica
bass	bass
bassin	pool
bastard	bastard/n/person_born_to_unmarried_parents
bastard	bastard
bataillon	battalion/n/any_large_body_of_troops
bauchnabel	bellybutton
bauchreden	ventriloquism/n/art_of_projecting_one's_voice_so_that_it_appears_to_come_from_another_source
baud	baud/n/a_rate_defined_as_the_number_of_signalling_events_per_second
bauhaus	bauhaus
bautzen	bautzen
bauwerk	construction/n/structure
bauxit	bauxite/n/ore
bauxit	bauxite
beamte	civil_servant
bearbeiten	tool/v/to_work_on_or_shape_with_tools
beatmungsgerät	medical_ventilator
beäugen	eye/v/to_observe_carefully
becher	cup
bedeutung	mean/n/definition_or_connotation_of_a_word
bedeutung	significance/n/meaning
bedürfnis	need
beehive-frisur	beehive/n/hairstyle
beeilen	hurry
beeilung	hurry
beengt	cramp/a/uncomfortably_restricted_in_size
befehlshaber	commander/n/one_who_exercises_control_and_direction_of_a_military_or_naval_organization
befeuchten	wet/v/cover_or_impregnate_with_liquid
befördern	promote/v/raise_someone_to_a_more_important,_responsible,_or_remunerative_job_or_rank
begabung	flair/n/natural_or_innate_talent_or_aptitude
begeistert	enthusiastic
begreifen	understand
begriffsklärung	disambiguation
begrüßung	welcome/n/act_of_greeting_someone's_arrival
behaart	hairy/a/of_a_person
behalten	keep/v/to_maintain_possession_of
beharrlichkeit	insistence
behinderung	handicap
behinderung	impediment
beichtstuhl	confessional/n/a_small_room_where_confession_is_performed
beileid	sympathy
beispringen	come_to_assistance
beißend	mordant/a/biting_or_caustic
beiwagen	sidecar/n/one-wheeled_attachment_to_a_motorcycle
beiwort	epithet/n/term_used_to_characterize_a_person_or_thing
beizeiten	early
bekannte	friend
belanglosigkeit	irrelevancy
belasten	burden/v/encumber
belebt	have_life
belgrad	belgrade
belichtung	exposure/n/film_exposed
beliebig	ad_lib/r/at_will
bemängeln	criticize
benedict	less_common_spell_of_benedikt
benennen	designate
benutzerfreundlichkeit	usability/n/easiness_of_use_in_computing
benutzeroberfläche	desktop/n/on-screen_background
benzin	benzine/n/solvent_or_fuel
bepissen	laugh_one_ass_off
berechenbar	predictable
bereich	field
bereichern	enrich/v/to_make_rich(er)
bereiten	make
bereitschaft	willingness
bergab	downhill
berg	mount/n/mountain
bergmann	miner
berlin	berlin/n/capital_city_of_germany
bermudas	bermuda/n/island_group
bernd	shorten_from_bernhard
bernhard	bernard/n/male_given_name
bernhardt	derive_from_give_name
beruf	occupation
beruf	vocation
berufen	appoint
beryllium	beryllium/n/chemical_element
beschädigen	vitiate/v/to_spoil
beschissen	shitty
beschlagen	mount
beschreiben	write_on
beschreibung	description
beschwören	summon
besetzerin	female_occupant
besichern	collateralize/v/to_secure_a_loan_by_using_collateral
besitz	ownership/n/legal_status
besitzergreifend	possessive
beständig	constant/a/unchanged_through_time
bestätigung	confirmation/n/verification
bestattung	funeral/n/ceremony_to_honour_of_a_deceased_person
bestehen	obtain/v/to_be_the_case,_hold_true
besteuern	tax
bestial	brutish/a/bestial
bestimmen	designate/v/to_mark_out_and_make_known
bestimmung	destination
bestrafen	book/v/penalise
besudeln	sully
betalain	betalain
betonung	accent/n/a_recurring_stress_on_a_tone
betonung	stress/n/on_a_point_in_an_argument
betonung	stress/n/on_a_syllable
betriebsstörung	breakdown/n/a_failure,_particularly_mechanical
bettdecke	coverlet
beunruhigung	concern
beutel	bag/n/flexible_container
bevollmächtigung	authorization
bewältigen	cope_with
bewegen	prompt
bewegt	touch/a/moved
bewegung	movement/n/trend_in_various_fields_or_social_categories
bewirten	regale
bewohner	denizen/n/local_flora_and_fauna
bewohner	tenant/n/occupant
bewusst	intentional
beziehung	relation
bhutan	bhutan
bibel	bible
biceps_brachii	biceps_brachii/n/biceps_brachii
bienen	be
bienenkönigin	queen_bee
bienenwachs	beeswax
bieten	occur
bild	picture
bilderreich	figurative
bindehaut	conjunctiva
binnenschiff	riverboat/n/watercraft
biodiversität	biodiversity
bisamratte	muskrat
bissen	bite
bistum	bishopric/n/diocese
bitte_bringen_sie_die_speisekarte	could_i_see_menu_please/n/said_to_ask_for_a_menu
bitten	ask
bj.	abbreviation_of_baujahr
blaffen	bark/v/to_speak_sharply
blättchen	use_to_roll_cigarette_or_joint
blauäugig	blue-eyed
blaubeere	bilberry/n/the_shrub_of_this_plant
bläulich	blueish
blaumeise	blue_tit/n/bird
blender	fake
blissenbach	originally_name_of_german_village
blitzableiter	arrester
blitzartig	in_flash
blitzkrieg	blitzkrieg/n/fast_military_offensive
blitzschlag	thunderbolt
block	block
blubbern	bubble
blues	blue/n/musical_form
blumen	flower
blumig	flowery/a/of_a_speech_or_piece_of_writing
blutarm	bloodless
blutbank	blood_bank
blut	blood/n/family_relationship_due_to_birth,_e.g._between_siblings
blut	blood/n/vital_liquid_flowing_in_animal_bodies
blütenblatt	petal
bluterguss	bruise
bluttat	bloody_deed
blutwurst	blood_pudding
bock	buck/n/uncastrated_sheep,_a_ram
bock	interest_to_do_something
boden	floor_cover
bodyguard	bodyguard
böe	blow/n/strong_wind
bolzen	bolt/n/short,_stout,_blunt-headed_arrow
bombardieren	bombard/v/to_attack_something_or_someone_by_directing_objects_at_them
bombardieren	bombard/v/to_attack_something_with_bombs,_artillery_shells,_or_other_missiles
bönhase	manual_labourer_who_be_not_member_of_any_guild
bonus	bonus/n/extra_amount_of_money_given_as_a_premium
bonus	incentive/n/cash_bonus
boot	boat/n/water_craft
börsengang	initial_public_offer
böse	anger
bose-einstein-kondensat	bose-einstein_condensate/n/gaseous_superfluid
bote	messenger
bottich	tub/n/broad,_flat-bottomed_vessel
bougainvillea	bougainvillea/n/flower
bourgeois	bourgeois
boutique	boutique
box	box
boykottieren	boycott
brachet	june
brachial	unscrupulous
brandung	surf/n/waves_that_break
braun	brown/a/having_brown_colour
braunkehlchen	whinchat/n/''saxicola_ruberta''
brav	excellent
brei	pap/a/soft_food
bremsschuh	brake_shoe/n/element_of_a_drum_brake
brennen	burn
brennstoff	fuel/n/substance_consumed_to_provide_energy
briefbeschwerer	paperweight/n/small,_decorative,_somewhat_weighty_object
brieftaube	home_pigeon
brillant	brilliant
brillenschlange	somebody_wear_glass
brillenschötchen	buckler_mustard
bringen	lead
brisant	explosive
brodem	strong_smell
brombeeren	blackberry
bronze	bronze
brot	bread
broterwerb	breadwinning
brotkasten	bread_box
brüllen	roar
brunch	brunch
bruneier	bruneian
brünhild	variant_of_brunhilde
brunst	heat
brüskieren	affront
brutal	brutal
buch_mit_sieben_siegeln	seven_seal/n/christian_concept
büchse	rifle
büchse	tin/n/airtight_container
buckelwal	megaptera_novaeangliae
bügel-bh	underwire/n/bra_type
bügeln	iron
buhen	boo/v/to_shout_boos_derisively_(intransitive)
bunt	multi-colored
burenhäutl	see_burenwurst
burg	castle/n/fortified_building
bürger	or_more_influential_than_peasant_and_poor_and
burkhard	derive_from_give_name
burkhart	derive_from_give_name
burkina_faso	burkina_faso
bursche	boy
büste	bust/n/sculptural_portrayal_of_a_person's_head_and_shoulders
butterröhrling	slippery_jack/n/mushroom_in_genus_suillus
cabriolet	cabriolet
calimocho	calimocho/n/drink
campingplatz	campsite/n/a_place_where_a_tent_may_be_or_is_pitched
capronsäure	caproic_acid/n/the_liquid_fatty_acid,_ch<sub>3</sub>(ch<sub>2</sub>)<sub>4</sub>cooh
caprylsäure	caprylic_acid/n/fatty_acid
carl	less_common_spell_of
carotinoid	carotenoid
catharina	less_common_spell_of_katharina
catrin	spell_variant_of_katrin
cd	cd
chamäleon	chameleon/n/reptile
chance	chance
charakter	character/n/moral_strength
charisma	charisma
charme	charm
chauvinist	chauvinist
checken	examine
chic	chic
chilene	chilean
chiliöl	chili_oil/n/condiment
chips	chip/n/thin-sliced_and_deep-fried_potatoes_sold_in_sealed_bags
chor	chorale/n/chorus
christbaumkugel	bauble
christ	christian/n/member_of_the_christian_religion
christiane	cognate_to_english_christiana
christopher	borrow_from_english
chrom	chromium/n/chemical_element
chronologie	chronology
chronologisch	chronological
chruschtschow	khrushchev
chuch'e	juche/n/north_korean_"self-reliance"_state_ideology
chuzpe	chutzpah
circonfondere	surround_or_wrap_around
claque	claque
claqueur	claqueur
clown	clown
cognac	cognac/n/type_of_brandy
colchicin	colchicine/n/alkaloid
colmar	eastern_france
commonwealth_von_australien	commonwealth_of_australia/n/formal_and_full_name_of_australia
contenance	composure
contra	contra
coup	coup
cover	cover
cowboy	cowboy
crux	grief
cyan	cyanogen/n/poisonous_gas
dachschaden	roof_damage
dadra_und_nagar_haveli	dadra_and_nagar_haveli
daher	for_that_reason
daher	that_be_why
dame	lady/n/woman_of_breeding_and_authority
dame	queen/n/playing_card
damoklesschwert	sword_of_damocles
dampf	steam/n/water_vapor
dampfschiff	steamship/n/vessel_propelled_by_steam
dampfwalze	steamroller
danach	then/r/next_in_order
daneben	adjacent/a/lying_next_to,_close,_or_contiguous
darmausgang	anus
darm	intestine/n/subdivision_of_the_alimentary_canal
darmstadtium	darmstadtium/n/transuranic_chemical_element_with_atomic_number_110
darstellen	represent/v/to_stand_in_the_place_of
datum	datum
dauerwelle	perm
daune	down/n/soft,_immature_feathers
davit	davit/n/crane_to_sling_a_lifeboat,_maintenance_trapeze_etc
deaktivieren	deactivate/v/to_make_something_inactive_or_no_longer_effective
debakel	debacle
deckel	top/n/lid,_cap,_cover
defensiv	defensive
definition	definition/n/action_or_power_of_describing,_explaining,_or_making_definite
definitiv	definitely/r/without_question_and_beyond_doubt
defloration	defloration
degradieren	demote/v/to_lower_the_rank_or_status_of_something
deine	dein
deismus	deism
dement	demented/a/suffering_from_dementia
den	the
den_faden_verlieren	lose_track/v/forget_one's_train_of_thought
den_grünen_daumen_haben	have_green_thumb
denis	cognate_to_dennis
denken	think
denn	since
dennoch	anyhow
den_sabbat_heiligen	sabbatize/v/to_sanctify,_keep_or_observe_the_sabbath,_as_the_sabbath
departement	department
deprimiert	depress
derangiert	derange
der	of/p/connecting_numeral_or_quantifier_with_quantified
der	the/d/article
der	the
desaster	disaster/n/unforeseen_event_causing_great_loss,_etc
deshalb	hence
design	design/n/plan
desillusionieren	disillusion
despotismus	despotism
desto	the
determination	determination/n/direction_or_tendency_to_a_certain_end
deutsch	german/a/of_or_relating_to_the_country_of_germany
deutsch	german/n/the_german_language
deutsch	germano-/n/relating_to_germany_and_german_culture
dextrose	dextrose
dezember	december/n/twelfth_month_of_the_gregorian_calendar
diabetes	diabetes
diagramm	diagram/n/plan
diakon	deacon/n/a_designated_minister_of_charity_in_the_early_church
diakon	deacon
diakritisches_zeichen	diacritic/n/special_mark
dialektal	dialectal/a/relating_to_a_dialect
diaphragma	diaphragm
diaspora	diaspora/n/dispersion_of_a_group_of_people
diastole	diastole
dich	accusative
die	whom
dienstgrad	rank/n/a_level_in_an_organization_such_as_the_military
diesel	diesel
die_würfel_sind_gefallen	die_be_cast
die_zeit_heilt_alle_wunden	time_heal_all_wound/n/injury
dilettantisch	amateurish
dingi	dinghy/n/small_boat
dinieren	dine
dinosaurier	dinosaur/n/extinct_reptile
diopter	diopter/n/lens_system
diorama	diorama
diplodocus	diplodocus
diplomat	diplomat
diplom	diploma
diskurs	discourse/n/expression_in_(spoken_or_written)_words
diskussion	discussion
diskuswerfen	discus_throw
diskuswurf	discus_throw/n/athletic_event_where_a_discus_is_thrown
dissonant	dissonant/a/music
distribution	distribution/n/act_of_distribution_or_being_distributed
distribution	distribution
disziplin	discipline/n/category_in_which_a_certain_activity_belongs
dodo	dodo
dogon	dogon
doktrin	doctrine
dokument	document
dollar	dollar/n/designation_for_specific_currency
domäne	domain/n/highest-level_grouping_of_organisms
đồng	dong/n/currency
donnern	thunder/n/sound_resembling_thunder
doppelstern	binary_star/n/binary_star
doppelt	double/a/twice_the_quantity
doppelzimmer	double_room
dornhai	or_piked_dogfish
dornröschen	thorny_rose
dosenöffner	tin_opener
drache	draco/n/constellation
drachenboot	dragon_boat/n/a_type_of_boat_raced_in_chinese_festivals
dramaturgie	dramaturgy
drang	urge/n/a_strong_desire
dravidisch	dravidian/n/family_of_languages
drechsler	turner/n/person_working_a_lathe
drecksloch	armpit/n/somewhere_or_something_foul
drehen	revolve
drehimpuls	angular_momentum
drehleier	hurdy-gurdy/n/stringed_instrument
drehorgel	barrel_organ/n/pipe_instrument_with_air_controlled_pins_in_a_revolving_barrel
dreiecksverhältnis	love_triangle/n/situation_in_which_two_people_vie_for_the_love_of_a_third
dreiklang	triad/n/musical_chord
dreimal	thrice
dreiundachtzig	eighty-three/n/83
dreizehn	thirteen/n/the_cardinal_number_occurring_after_twelve_and_before_fourteen
dreizehn	thirteen
dringen	press
dringend	urgent
drittletzter	antepenultimate/a/two_before_the_last
drogenberater	drug_advisor
drohne	drone/n/male_bee
drollig	jocose/a/given_to_jest
drossel	thrush/n/one_of_several_species_of_songbirds_of_the_family_turdidae
druide	druid
druse	druze/n/individual_druze
duckmäuser	sneak
duma	duma/n/a_russian_national_parliament
dünengazelle	rhim_gazelle
dunkel	dark/a/having_an_absolute_or_relative_lack_of_light
dunkelheit	dark/n/a_complete_or_partial_absence_of_light
dunstabzugshaube	extractor_hood/n/kitchen_device
duodenum	duodenum/n/first_part_of_the_small_intestine
duodezillion	1072
durch	enter
durcheinander_bringen	disrupt/v/to_throw_into_confusion_or_disorder
durcheinander	mess/n/a_disagreeable_mixture_or_confusion_of_things...
durchgedreht	berserk/a/injuriously,_maniacally,_or_furiously_violent_or_out_of_control
durchschnitt	intersection/n/in_set_theory
durchschnittlich	average/a/constituting_or_relating_to_the_average
dürfen	be_allow_or_permit_to_do_something_imply_or_previously_state
dürfen	may/v/have_permission_to
dürsten	thirst/v/to_be_thirsty
duschkopf	shower_head
duschvorhang	shower_curtain/n/a_waterproof_curtain
düster	lugubrious/a/gloomy
düster	obscure
dynamo	dynamo
dynastisch	dynastic/a/pertaining_to_a_dynasty
eckart	variant_of_ekkehard
eckehard	spell_variant_of_ekkehard
edda	edda
edith	edith/n/female_given_name
egal	equal
egal	whatever/n/anything
ego	ego
egomane	egomaniac/n/person_obsessed_with_their_own_(supposed)_importance
eh	anyway
ehe	before
ehelich	marital/a/pertaining_to_marriage
ehemalige_jugoslawische_republik_mazedonien	former_yugoslav_republic_of_macedonia/n/provisional_designation_used_of_the_republic_of_macedonia
ehevertrag	prenuptial_agreement/n/a_document
ehrbar	honorable/a/worthy_of_respect
ehrlich	equitable/a/fair,_just,_or_impartial
ehrlich	honest/a/scrupulous_with_regard_to_telling_the_truth
ei	egg
eid	oath/n/affirmed_statement
eidechse	lacerta/n/a_constellation
eidechse	lizard
eiderente	eider/n/duck_of_genus_''somateria''
eifersucht	jealousy/n/jealous_attitude_(e.g._fear_of_infidelity)
eifrig	zealous/a/full_of_zeal
eigenbeschuss	friendly_fire/n/fire_from_allied_or_friendly_forces
eigen	innate
eigentum	owndom
eigenwillig	wayward/a/given_to_wilful,_perverse_deviation_from_the_expected_norm
einander	each_other
einatmen	inhale/v/draw_air_into_the_lungs
einbalsamieren	embalm/v/to_treat_a_corpse_in_order_to_prevent_decomposition
einbruch	burglary/n/the_crime_of_breaking_into
eindosen	tin/v/to_place_into_a_tin_in_order_to_preserve
einem	an
einem_geschenkten_gaul_schaut_man_nicht_ins_maul	do_not_look_gift_horse_in_mouth/n/a_phrase_referring_to_unappreciatively_questioning_of_a_gift_or_handout_too_closely
eine_nachtschicht_einlegen	pull_all-night/v/work_throughout_the_night
einer	feminine_dative_of_indefinite_pronoun
einfarbig	unicolored
einfügen	paste/v/to_insert_a_piece_of_text
eingetragene_partnerschaft	civil_union/n/legal_union_similar_to_marriage
einholen	reel
einkaufen	shop/n/activity_of_buying
einkommensteuer	income_tax/n/a_tax_levied_on_earned_and_unearned_income
einlegen	put_in
ein_nach_dem_anderen	one_by_one/r/individually
einschalten	intervene
einschalten	turn_on/v/(transitive)_to_power_up
einschüchtern	bully/v/to_intimidate
einseitig	one-sided/a/out_of_proportion_or_lopsided
einsetzen	employ/v/to_put_into_use
einsetzen	speak_up_for
einsteinium	einsteinium/n/element_with_atomic_number_99
einwanderer	immigrant/n/person
einwirkung	exposure/n/lack_of_protection
eisenach	eisenach
eisen	of_iron
eiserne_hand	iron_fist/n/ruthless_control
eiskaffee	ice_coffee
eissturmvogel	fulmar/n/seabird,_genus_''fulmarus''
eiszeit	ice_age
eitelkeit	vanity
elbe	elbe
elchtest	moose_test/n/vehicle_test
elegie	elegy
elektrischer_strom	electric_current/n/measurement_of_the_rate_of_flow_of_electric_charge
elektrode	electrode
elektroenzephalografie	electroencephalography
eleonore	eleanor/n/female_given_name
elf	elf
elfenbein	ivory/n/colour
ellipse	ellipsis
eloquent	eloquent
e-mail	e-mail/n/system
emaillieren	enamel
emetikum	emetic
empfang	receipt/n/act_of_receiving
empfang	reception/n/social_engagement
empfänger	receiver
empfänger	recipient/n/one_who_receives
empfehlen	recommend
empfehlung	recommendation/n/that_which_is_recommended
empirisch	empirical
enantiomer	enantiomer/n/one_of_a_pair_of_mirror-image_stereoisomers
endemisch	endemic/a/prevalent_in_a_particular_area
endemit	endemic/n/individual_or_species_that_is_endemic
endlich	finally/r/lastly
endotherm	endothermic
endstation	end_of_line
energie	energy/n/impetus_behind_activity
englisch	english
entbehren	be_deprive_of
enten	duck
entfernen	leave
entfernt	distant
